,index,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,L.A,MIN,MTL,N.J,NSH,NYI,NYR,OTT,PHI,PIT,S.J,STL,T.B,TOR,VAN,VGK,WPG,WSH
0,ANA,,Slight Disadvantage,Toss-Up,Favorite,Underdog,Underdog,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Unlucky,Slight Edge,Underdog,Toss-Up,Underdog,Favorite,Underdog,Favorite,Favorite,Favorite,Underdog,Favorite,Toss-Up,Toss-Up,Dominate,Underdog,Dominate,Favorite,Underdog
1,ARI,Slight Edge,,Dominate,Favorite,Toss-Up,Favorite,Dominate,Toss-Up,Favorite,Dominate,Dominate,Favorite,Favorite,Toss-Up,Underdog,Toss-Up,Favorite,Toss-Up,Favorite,Toss-Up,Struggling,Favorite,Dominate,Favorite,Underdog,Toss-Up,Underdog,Struggling,Favorite,Dominate,Toss-Up
2,BOS,Toss-Up,Struggling,,Toss-Up,Underdog,Toss-Up,Underdog,Underdog,Dominate,Toss-Up,Underdog,Toss-Up,Favorite,Struggling,Struggling,Underdog,Unlucky,Toss-Up,Struggling,Favorite,Struggling,Toss-Up,Toss-Up,Underdog,Toss-Up,Toss-Up,Toss-Up,Favorite,Underdog,Favorite,Favorite
3,BUF,Underdog,Underdog,Toss-Up,,Dominate,Favorite,Toss-Up,Dominate,Favorite,Dominate,Underdog,Toss-Up,Favorite,Toss-Up,Toss-Up,Favorite,Favorite,Favorite,Favorite,Favorite,Toss-Up,Favorite,Favorite,Dominate,Dominate,Dominate,Dominate,Toss-Up,Favorite,Favorite,Favorite
4,CAR,Favorite,Toss-Up,Favorite,Struggling,,Toss-Up,Favorite,Underdog,Toss-Up,Underdog,Favorite,Underdog,Struggling,Toss-Up,Underdog,Struggling,Favorite,Unlucky,Favorite,Favorite,Underdog,Underdog,Toss-Up,Favorite,Favorite,Favorite,Toss-Up,Struggling,Toss-Up,Dominate,Favorite
5,CBJ,Favorite,Underdog,Toss-Up,Underdog,Toss-Up,,Toss-Up,Toss-Up,Underdog,Unlucky,Struggling,Dominate,Struggling,Favorite,Toss-Up,Toss-Up,Unlucky,Toss-Up,Toss-Up,Struggling,Struggling,Underdog,Dominate,Underdog,Favorite,Lucky,Toss-Up,Favorite,Underdog,Toss-Up,Toss-Up
6,CGY,Toss-Up,Struggling,Favorite,Toss-Up,Underdog,Toss-Up,,Struggling,Struggling,Lucky,Underdog,Slight Edge,Toss-Up,Underdog,Toss-Up,Favorite,Struggling,Underdog,Struggling,Toss-Up,Struggling,Underdog,Toss-Up,Dominate,Toss-Up,Favorite,Favorite,Slight Disadvantage,Favorite,Toss-Up,Toss-Up
7,CHI,Toss-Up,Toss-Up,Favorite,Struggling,Favorite,Toss-Up,Dominate,,Slight Edge,Favorite,Underdog,Toss-Up,Underdog,Dominate,Slight Disadvantage,Toss-Up,Favorite,Favorite,Toss-Up,Struggling,Underdog,Lucky,Underdog,Dominate,Slight Disadvantage,Dominate,Favorite,Favorite,Dominate,Dominate,Toss-Up
8,COL,Toss-Up,Underdog,Struggling,Underdog,Toss-Up,Favorite,Dominate,Slight Disadvantage,,Underdog,Struggling,Toss-Up,Unlucky,Favorite,Underdog,Toss-Up,Toss-Up,Favorite,Favorite,Struggling,Dominate,Underdog,Unlucky,Dominate,Favorite,Dominate,Struggling,Toss-Up,Toss-Up,Slight Disadvantage,Dominate
9,DAL,Toss-Up,Struggling,Toss-Up,Struggling,Favorite,Lucky,Unlucky,Underdog,Favorite,,Struggling,Underdog,Struggling,Struggling,Underdog,Toss-Up,Toss-Up,Favorite,Underdog,Underdog,Favorite,Toss-Up,Favorite,Underdog,Underdog,Lucky,Dominate,Favorite,Favorite,Favorite,Toss-Up
10,DET,Toss-Up,Struggling,Favorite,Favorite,Underdog,Dominate,Favorite,Favorite,Dominate,Dominate,,Toss-Up,Favorite,Favorite,Toss-Up,Favorite,Underdog,Underdog,Favorite,Underdog,Underdog,Favorite,Toss-Up,Toss-Up,Favorite,Dominate,Favorite,Toss-Up,Toss-Up,Favorite,Favorite
11,EDM,Toss-Up,Underdog,Toss-Up,Toss-Up,Favorite,Struggling,Slight Disadvantage,Toss-Up,Toss-Up,Favorite,Toss-Up,,Toss-Up,Toss-Up,Underdog,Struggling,Toss-Up,Dominate,Underdog,Toss-Up,Toss-Up,Favorite,Lucky,Dominate,Dominate,Dominate,Favorite,Toss-Up,Toss-Up,Dominate,Lucky
12,FLA,Lucky,Underdog,Underdog,Underdog,Dominate,Dominate,Toss-Up,Favorite,Lucky,Dominate,Underdog,Toss-Up,,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Struggling,Favorite,Underdog,Underdog,Dominate,Underdog,Toss-Up,Favorite,Toss-Up,Toss-Up,Toss-Up,Toss-Up,Underdog
13,L.A,Slight Disadvantage,Toss-Up,Dominate,Toss-Up,Toss-Up,Underdog,Favorite,Struggling,Underdog,Dominate,Underdog,Toss-Up,Toss-Up,,Toss-Up,Underdog,Favorite,Dominate,Favorite,Underdog,Toss-Up,Underdog,Favorite,Favorite,Toss-Up,Favorite,Favorite,Favorite,Slight Disadvantage,Dominate,Toss-Up
14,MIN,Favorite,Favorite,Dominate,Toss-Up,Favorite,Toss-Up,Toss-Up,Slight Edge,Favorite,Favorite,Toss-Up,Favorite,Toss-Up,Toss-Up,,Unlucky,Toss-Up,Favorite,Toss-Up,Struggling,Struggling,Toss-Up,Favorite,Toss-Up,Underdog,Struggling,Toss-Up,Toss-Up,Struggling,Struggling,Favorite
