,Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
0,"2019-10-02 - Senators 3, Maple Leafs 5",Ottawa Senators,Limited ReportFull Report,44.133333333333,39.73,57.37,40.92,32.18,43.51,42.52,21.34,31.8,40.16,3.07,3.8,44.73,1.32,2.08,38.89,17.11,21.2,44.67,3.0,5.52,35.21,2.01,4.67,30.02,2.08,2.8,42.62,103.78,40.07,13.95,15.86,46.8,8.21,6.93,54.21,1.06,0.0,100.00,12.89,100.00,16.39,33.71,32.71,9.39,19.34,32.69,0.0,1.07,0.00,0.0,94.48,14.4,88.06,1.025,19612
1,"2019-10-02 - Senators 3, Maple Leafs 5",Toronto Maple Leafs,Limited ReportFull Report,44.133333333333,57.37,39.73,59.08,43.51,32.18,57.48,31.8,21.34,59.84,3.8,3.07,55.27,2.08,1.32,61.11,21.2,17.11,55.33,5.52,3.0,64.79,4.67,2.01,69.98,2.8,2.08,57.38,59.93,-3.78,15.86,13.95,53.2,6.93,8.21,45.79,0.0,1.06,0.00,0.00,87.11,33.71,16.39,67.29,19.34,9.39,67.31,1.07,0.0,100.00,5.52,100.0,11.94,85.6,0.975,19612
2,"2019-10-02 - Capitals 3, Blues 2",Washington Capitals,Limited ReportFull Report,50.866666666667,40.03,28.34,58.55,33.18,23.04,59.03,24.1,16.96,58.69,1.01,0.94,51.81,1.76,1.05,62.58,23.63,13.62,63.44,4.2,3.8,52.48,3.1,3.85,44.62,0.0,0.94,0.00,0.00,75.52,19.14,9.94,65.82,13.21,6.85,65.85,1.02,0.0,100.00,7.74,100.00,14.91,12.55,54.3,6.92,5.29,56.64,0.0,0.0,-,0.0,100.0,4.21,94.44,0.986,18096
3,"2019-10-02 - Capitals 3, Blues 2",St Louis Blues,Limited ReportFull Report,50.866666666667,28.34,40.03,41.45,23.04,33.18,40.97,16.96,24.1,41.31,0.94,1.01,48.19,1.05,1.76,37.42,13.62,23.63,36.56,3.8,4.2,47.52,3.85,3.1,55.38,0.94,0.0,100.00,24.48,100.00,9.94,19.14,34.18,6.85,13.21,34.15,0.0,1.02,0.00,0.00,92.26,12.55,14.91,45.7,5.29,6.92,43.36,0.0,0.0,-,0.0,100.0,5.56,95.79,1.014,18096
4,"2019-10-02 - Canucks 2, Oilers 3",Vancouver Canucks,Limited ReportFull Report,47.066666666667004,53.28,35.11,60.28,37.68,23.83,61.25,23.86,18.91,55.79,2.07,2.81,42.39,1.61,1.45,52.55,28.46,18.5,60.6,5.14,6.73,43.29,3.04,6.81,30.84,1.06,1.88,35.98,34.86,72.35,23.01,11.85,66.0,7.1,5.86,54.77,0.0,0.96,0.00,0.00,83.61,21.54,12.25,63.76,10.7,4.04,72.61,0.94,0.0,100.00,8.77,100.0,8.67,85.13,0.938,18347
5,"2019-10-02 - Canucks 2, Oilers 3",Edmonton Oilers,Limited ReportFull Report,47.066666666667004,35.11,53.28,39.72,23.83,37.68,38.75,18.91,23.86,44.21,2.81,2.07,57.61,1.45,1.61,47.45,18.5,28.46,39.4,6.73,5.14,56.71,6.81,3.04,69.16,1.88,1.06,64.02,27.65,65.14,11.85,23.01,34.0,5.86,7.1,45.23,0.96,0.0,100.00,16.39,100.00,12.25,21.54,36.24,4.04,10.7,27.39,0.0,0.94,0.00,0.0,91.23,14.87,91.33,1.062,18347
6,"2019-10-02 - Sharks 1, Golden Knights 4",San Jose Sharks,Limited ReportFull Report,45.666666666667005,30.58,47.75,39.04,22.88,39.53,36.66,15.09,24.51,38.1,1.01,1.98,33.91,0.95,2.39,28.48,9.79,27.97,25.92,3.02,12.18,19.87,1.05,9.22,10.26,0.0,1.98,0.00,0.00,78.53,6.61,16.06,29.14,2.92,8.25,26.17,1.02,0.0,100.00,35.00,100.00,19.12,17.49,52.23,8.82,6.68,56.92,0.0,0.0,-,0.0,100.0,6.72,91.93,0.987,18588
7,"2019-10-02 - Sharks 1, Golden Knights 4",Vegas Golden Knights,Limited ReportFull Report,45.666666666667005,47.75,30.58,60.96,39.53,22.88,63.34,24.51,15.09,61.9,1.98,1.01,66.09,2.39,0.95,71.52,27.97,9.79,74.08,12.18,3.02,80.13,9.22,1.05,89.74,1.98,0.0,100.00,21.47,100.00,16.06,6.61,70.86,8.25,2.92,73.83,0.0,1.02,0.00,0.00,65.00,17.49,19.12,47.77,6.68,8.82,43.08,0.0,0.0,-,0.0,100.0,8.07,93.28,1.013,18588
8,"2019-10-03 - Panthers 2, Lightning 5",Florida Panthers,Limited ReportFull Report,45.5,43.68,35.49,55.17,35.31,24.6,58.93,28.49,19.45,59.43,1.01,1.93,34.36,1.04,1.25,45.36,13.21,16.0,45.22,3.01,7.93,27.5,2.97,5.0,37.31,0.0,0.99,0.00,0.00,80.19,10.05,8.13,55.29,8.13,5.96,57.7,1.06,0.0,100.00,13.02,100.00,28.59,16.98,62.74,16.06,7.36,68.58,0.0,0.95,0.00,0.0,87.14,3.55,90.06,0.9359999999999999,19092
9,"2019-10-03 - Panthers 2, Lightning 5",Tampa Bay Lightning,Limited ReportFull Report,45.5,35.49,43.68,44.83,24.6,35.31,41.07,19.45,28.49,40.57,1.93,1.01,65.64,1.25,1.04,54.64,16.0,13.21,54.78,7.93,3.01,72.5,5.0,2.97,62.69,0.99,0.0,100.00,19.81,100.00,8.13,10.05,44.71,5.96,8.13,42.3,0.0,1.06,0.00,0.00,86.98,16.98,28.59,37.26,7.36,16.06,31.42,0.95,0.0,100.00,12.86,100.0,9.94,96.45,1.064,19092
